         nspname         |                   proname                    |                                                                                                                                                                                                                                                                      args                                                                                                                                                                                                                                                                       |                 result                  | vol 
-------------------------+----------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------+-----
 documentdb_api          | binary_extended_version                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | text                                    | i
 documentdb_api          | binary_version                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | text                                    | i
 documentdb_api          | list_databases                               | p_list_databases_spec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_aggregation_count                       | databasename text, countspec documentdb_core.bson, OUT document documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                            | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_aggregation_distinct                    | databasename text, distinctspec documentdb_core.bson, OUT document documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                         | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_aggregation_find                        | databasename text, findspec documentdb_core.bson, OUT document documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                             | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_aggregation_pipeline                    | databasename text, aggregationpipeline documentdb_core.bson, OUT document documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                  | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_array_agg                               | documentdb_core.bson, text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_array_agg                               | documentdb_core.bson, text, boolean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | documentdb_core.bson                    | i
