Question ID,ID,Created,Case,Model,Component,Component Description,Question,Photos,Status,Assigned to:,Answer,Answer Date,Doc360 URL
Q - 226,226,6/24/25,,101 - Standard Complete Platinum,,,Can the Cyclone Rake hook up to the John Deere Power Flow Bagger?,,Unanswered,,"We have some customers successfully connect the Cyclone Rake to the John Deere Power Flow Bagger, but we would recommend our MDA instead for the easiest connection. It's possible to do, but tricky and may require some extra parts that we don't supply. When you separate the chute from the outlet of the power flow blower the opening is rectangular, and also the neck does not protrude that much, so overlapping and securing securing the round hose is a bit difficult. On the other hand, it is a bit of a pain in the neck to remove and re-attach the power flow system on and off the deck when you want. It is a belt driven mechanism, and requires a bit of work. ",,
Q - 205,205,6/24/25,,103 - PRO,,,Can I convert my Commander to use the Commercial Pro Bag?,,Unanswered,,"Unfortunately, the Commander model you currently have will not accommodate the larger 415 gallon collector bag. The chassis is too small and there would be many components needed to convert it to the larger bag style. While we understand the 415 gallon capacity could be more accommodating for you, we do not recommended converting the Commander model you have. Down the road, if you have any questions about our larger units or would like information with current pricing, we would be glad to help you!",,
Q - 178,178,6/24/25,,101 - Standard Complete Platinum,,,What is the part number for Replacement Chassis for #101 - Standard Complete Platinum Standard Platinum?,,Unanswered,,Part #01-01-600A --Chassis Unit Complete (31- 3/4 inches wide),,
Q - 234,234,6/24/25,,101 - Standard Complete Platinum,,,Do the engines have a valve seat?,,Unanswered,,"Yes, sort of. There is a metal ring that is pressed into the cylinder head that the valve rests on when it is in the closed position. This is not a common problem for these engines. This is not a replaceable part - Briggs recommends replacing the entire head.",,
Q - 167,167,6/24/25,,104 - Commercial PRO,,,What is the part number for replacement Engine for a                    104 - Commercial PRO Commercial Pro? ,,Unanswered,,Part #01-04-158 -- Briggs & Stratton XR950 PRO Engine Upgrade Kit                                                                                                                                                                             Part #01-04-306 -- Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit,,
Q - 168,168,6/24/25,,"""107 - Commercial Pro 8"""" JetPath""",,,What is the part number for replacement Engine for a                    107 - Commercial PRO JetPath Commercial Pro? ,,Unanswered,,Part #01-04-158 -- Briggs & Stratton XR950 PRO Engine Upgrade Kit                                                                                                                                                                             Part #01-04-306 -- Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit,,
Q - 230,230,6/24/25,,101 - Standard Complete Platinum,,,What is the Difference between the XR950 and 6.5HP Cyclonic Vanguard?,,Unanswered,,"Both the Briggs & Stratton XR950-PRO and the 6.5HP Cyclonic Vanguard engines deliver excellent performance for your Cyclone Rake. However, the Vanguard engine offers several premium features that may enhance your experience.

Key Advantages of the XR950-PRO Engine:

1. 9.50 ft-lbs Gross Torque for reliable power and performance
2. 208cc displacement for efficient operation
3. Compact and lightweight design (Approx. 35.5 lbs) for ease of use

Key Advantages of the 6.5HP Cyclonic Vanguard Engine:

1. Extended 3-year warranty (compared to 2 years with XR950-PRO)
2. Transport Guard™ System prevents oil and fuel mixing during transport
3. High-capacity air cleaner for enhanced filtration and engine protection
4. Low-tone muffler system for quieter operation
5. Commercial-grade carburetor for improved fuel efficiency and consistent performance

Both engines are designed to power your Cyclone Rake effectively, but the Vanguard engine includes additional premium features that offer increased durability and convenience.",,
Q - 224,224,6/24/25,,101 - Standard Complete Platinum,,,Can the Cyclone Rake connect to a Ventrac mower?,,Unanswered,,"While it is theoretically possible to connect the Cyclone Rake to a Ventrac mower, we strongly advise against it. We can connect the hitch, MDA, and deck hose to the mower, but you will not be able to make a left-hand turn and turning right will be difficult. A hanger bracket will need to be manufactured and the overall length makes it cumbersome. Based on customer feedback, we do not recommend connecting to this mower. (One of our customers needed 14 feet of hose to use the Cyclone Rake).

You could use a longer hose, but you would have to pay extra for additional hose, and it undercuts the fundamental design of the Cyclone Rake. Not only does the dual pin hitch allow a rigid mount, and makes it impossible to jackknife, it also allows us to use the shortest, and straightest length of deck hose possible. The dual pin hitch allows us to use a fixed length of hose, all but eliminating the opportunity for the clogging and hassle you see in other machines with long, winding hoses. Having the mower articulate would defeat the purpose of our design.",,
Q - 179,179,6/24/25,,101 - Standard Complete Platinum,,,What is the part number for  New Three Piece Side Tubes (Aug 2023)?,,Unanswered,,Part #01-03-2195-Set of 1 Three Piece Side Tubes                                                                                                                                                                                                                                             Part #01-03-2196-Set of 2 Three Piece Side Tubes,,
Q - 175,175,6/24/25,,101 - Standard Complete Platinum,,,What is the part number for Replacement Exit Chute #101 - Standard Complete Platinum Standard Platinum,,Unanswered,,Part #01-02-077 -- Standard Platinum Exit Chute,,
Q - 220,220,6/24/25,,101 - Standard Complete Platinum,,,Can I use the 3rd Wheel Jackstand with a different leaf and lawn vacuum or cart?,,Unanswered,,"Our 3rd Wheel Jackstand was designed specifically for the Cyclone Rake only. We don't know how it would work with other leaf and lawn vacuum systems or on a separate cart, but you can check out the instructions below to get an idea of how it attaches on the Cyclone Rake. Keep in mind the 3rd Wheel Jackstand is for storage purposes only!",,
Q - 005,5,5/25/25,Case - 010,109 - Commander*,02-04-700A | Large Chassis Unit Complete (36- 3/4 inches wide),"Chassis, 02-04-700A",Rear wheel rubber boot torn for 109 - Commander. What is the replacement for this part?,Screenshot 2025-05-25 at 8.52.27 PM.png (https://v5.airtableusercontent.com/v3/u/44/44/1754841600000/XsYgrKFbMNxOm2rJMEOiHg/pmasl-dHGmsbcEpdLdiXGSeIywTpwhCyJ8Ca27vqlf2qORAymKs81v2CdbWg9uvUUh8Ga3YNpqz_X8UXNRvCo4fkXqXL5g-ldJY6aHIvhTU3vvv35ob8QzKcmXSL3tu8i_mL3ub5I7u4z60-gOJsRN5TA3UVeFZzMU1cyz_TopAxPUpFf0_GJFJ9bPfJa4Ce/qOB07rQhyqoHjPBBWtEOxtyKYDT4SSewVY4Ox1dww6w),Answered,Cristopher Luciano,The replacement part is 02-04-700A.,5/28/25,
Q - 006,6,5/25/25,Case - 010,109 - Commander*,213 | 5.5/6.5 HP Phase 2 Engine Maintenance Kit,"Engine Maintenance Kit, 213",Is this part under warranty?,,Answered,Alicia Southiseng,"Yes, we provide 2 years of warranty and this vacuum is still applicable.",5/27/25,
Q - 007,7,5/25/25,Case - 009,"109 - Commander*,105 - Classic*",,,Lawn-and-leaf vacuum for a 1-acre property that is battery-operated with self-propelling features.,,Answered,Alicia Southiseng,"Thank you for reaching out to us with your question! I am happy to help you.

While the Cyclone Rake lineup is known for its power and high-capacity vacuuming (especially for properties your size), all Cyclone Rake models are tow-behind units powered by gas engines, and not battery-operated or self-propelled in the traditional walk-behind sense.

That said, here’s what I’d recommend based on your needs:

For Larger Properties Like Yours:
Cyclone Rake Commander or Commercial PRO: These models are great for 1-acre+ properties and tow behind your riding mower or zero-turn.

They don’t require pushing or walking—your mower does all the work.

They come with powerful Briggs & Stratton engines, large capacity, and excellent suction for leaves, pine needles, and debris.

While not battery-powered, they save time and physical effort, and outperform most walk-behind vacuums in terms of debris volume and speed.

If you're set on a battery-powered, walk-behind unit, those are typically best suited for smaller yards or spot cleanup. We don’t currently manufacture that type of unit, but we focus on higher-capacity vacuum systems for serious yard work.",7/14/25,
Q - 010,10,5/25/25,Case - 007,105 - Classic*,,,What is the status of my order? Order #174892 Shipping Delay,,Answered,,"Thanks for reaching out about your order status! I'm happy to help you with this.

I looked into your order #174892 and saw that it's currently experiencing a shipping delay. I know how frustrating that can be, and I’m sorry for the inconvenience.

Our shipping manager will be reaching out to FedEx right away to get a clearer picture of what’s causing the holdup. As soon as we hear back, we’ll follow up with you directly with an update on the status and expected delivery.

Thanks for your patience, and we’ll be in touch very soon!",7/11/25,
Q - 011,11,5/25/25,Case - 006,101 - Standard Complete Platinum,,,"My Hawk V-Twin 720 is making a loud clicking sound when I start it. It still runs, but I’m concerned it might cause damage. Is the loud clicking sound on my new 107 - Commercial Pro 8"" Jetpath normal?
",,Answered,Caleb Cole,"hanks for reaching out with your question! I’m happy to clarify this for you.

The Hawk V-Twin 720 is not an engine that came with your 107 – Commercial PRO Cyclone Rake, and it’s not a product we offer or support. Because of that, we’re not able to troubleshoot or diagnose any engine-related issues with it.

If you're concerned about the loud clicking sound, we recommend contacting the engine manufacturer or a qualified service technician who’s familiar with that brand.

If you ever have questions about your Cyclone Rake or its components, I’m always happy to help with that!",7/24/25,
Q - 014,14,5/25/25,Case - 003,110 - Commercial Pro*,,,How can I check warranty status for my 102 - Commercial?,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Since you purchased your 110 – Commercial PRO in June 2023 and it’s equipped with the XR960 PRO engine, your unit is covered by a 2-year warranty from the date of purchase. Even if you can’t find your receipt, you’re still within that warranty window.

If you'd like, we can:

Email you a copy of your original invoice for your records, or

You can log into your account on our website to view your past orders and warranty details.

Here’s a helpful article that outlines what’s included in your coverage:
Understanding Your Cyclone Rake Warranty Coverage

Just let me know how you’d like to proceed—we’re happy to help either way!",7/11/25,https://cyclopedia.cyclonerake.com/docs/understanding-your-cyclone-rake-warranty-coverage
Q - 015,15,5/25/25,Case - 002,106 - Commander Pro,01-02-1978 | Switch & Key Assembly - Electric Start,", 01-02-1978",Could this be a faulty switch on my 112 - Z-10*?,,Answered,,"Thanks for contacting us about your Cyclone Rake technical issue! I'll get you back up and running quickly.

If you’re pressing the power button on your 112 – Z-10 and getting no response at all, even with a fully charged battery, here’s what to check first:

Key things to inspect:
Battery Charge: You’ve already confirmed it’s fully charged—great first step.

Fuel Lever: Make sure it's pushed to the right—this is the “ON” position.

Wiring Connections: Check that all harnesses are properly secured:

Engine Harness:

Red wire to solenoid

Black wire grounded to engine block

Both should meet at a grey connector

Battery Harness:

Red to (+) terminal, black to (–)

Also meeting at a grey connector

If the engine starts by pull start, the battery shows proper voltage, and you’ve confirmed good connectivity across the solenoid, then yes—it’s very possible the issue is with the key start switch itself. In that case, replacing it with the Key and Switch Assembly (part #01-02-1978) should solve the problem.

For more details on checking the solenoid, see this article:
Troubleshooting Cyclone Rake 8–10HP Electric Start Issues

Let me know how it goes or if you need help ordering that part!",7/24/25,https://cyclopedia.cyclonerake.com/docs/troubleshooting-cyclone-rake-8-10hp-electric-start-issues
Q - 127,127,6/24/25,,101 - Standard Complete Platinum,01-02-200 | Phase 1 Engine Maintenance Kit,"Engine Maintenance Kit, 01-02-200",What is the part number for the engine maintainance kit for an Intek 6 HP?,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Looks like you're all set to get your Cyclone Rake 101 – Standard Complete Platinum in top shape with our Engine Maintenance Kit for the Briggs INTEK 6 HP engine. Your model uses part #01-02-200, and it includes everything you need for a quick tune-up before jumping into your yard work.

Here’s what comes in the kit:

Air Filter – Helps increase airflow and improve engine efficiency

Oil – Keeps the engine well-lubricated and reduces wear

Spark Plug & Socket – Ensures smooth starts and clean combustion

Fuel Treatment – Protects your fuel system with premium stabilizer

Funnel – For clean and easy oil changes

Shop Towel – Handy for wiping up any spills

You can find the kit here:
Engine Maintenance Kit – Briggs INTEK 6HP (Part #01-02-200)

And here’s a helpful article with step-by-step instructions:
Using Your Engine Maintenance Kit

Let me know if you need anything else!",,
Q - 233,233,6/24/25,,101 - Standard Complete Platinum,,,Do I have to grease the single or dual wheels?,,Answered,,"Our current wheel design uses sealed bearings, which means:

1. No lubrication or greasing is necessary
2. The sealed design prevents any lubricant from reaching the bearings
3. This design ensures the bearings stay protected and remain maintenance-free
4. This applies to both single and dual wheel configurations",,
Q - 219,219,6/24/25,,112 - Z-10*,,,"Can I use premium gas in the engine?
",,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can use premium gasoline in your Cyclone Rake engine, but it's not required.

Recommended Fuel:
Unleaded gasoline, minimum 87 octane

Up to 10% ethanol (E10) is acceptable

Premium gas (higher octane) is perfectly fine to use, but it won't necessarily improve performance

The most important thing is to use fresh, clean fuel to ensure smooth starting and efficient operation.

Let me know if you have any other fuel-related questions!",7/25/25,https://cyclopedia.cyclonerake.com/docs/fuel-storage-guidelines-for-your-cyclone-rake?highlight=gas
